,1,3,4,5,6,7,8,9,gold
CARDINAL,0.57,0.46,0.68,0.29,0.41,0.42,0.42,0.57,0.61
DATE,0.52,0.65,0.7,0.55,0.48,0.66,0.54,0.67,0.64
EVENT,0.8,0.61,0.65,0.77,0.76,0.75,0.74,0.44,0.67
FACILITY,0.11,0.32,0.28,0.42,0.45,0.45,0.4,0.45,0.46
GPE,0.92,0.84,0.84,0.86,0.87,0.82,0.84,0.86,0.92
LANGUAGE,0.06,0.43,0.12,0.0,0.5,0.0,0.18,0.0,0.39
LAW,0.35,0.18,0.37,0.28,0.2,0.43,0.03,0.43,0.38
LOCATION,0.32,0.26,0.24,0.37,0.4,0.41,0.11,0.29,0.4
MONEY,0.98,0.98,0.98,0.97,0.9,0.98,0.92,0.98,0.88
NORP,0.65,0.68,0.63,0.65,0.7,0.47,0.48,0.67,0.74
ORDINAL,0.63,0.53,0.41,0.52,0.5,0.72,0.18,0.57,0.73
ORGANIZATION,0.79,0.76,0.71,0.54,0.69,0.57,0.7,0.73,0.75
PERCENT,0.56,0.11,0.13,0.56,0.01,0.56,0.33,0.54,0.78
PERSON,0.86,0.79,0.85,0.86,0.75,0.87,0.58,0.83,0.78
PRODUCT,0.13,0.22,0.11,0.09,0.1,0.38,0.14,0.19,0.57
QUANTITY,0.28,0.42,0.17,0.23,0.39,0.1,0.25,0.17,0.6
TIME,0.39,0.56,0.2,0.48,0.39,0.04,0.18,0.34,0.55
WORK OF ART,0.62,0.41,0.57,0.59,0.51,0.24,0.39,0.44,0.57
,,,,,,,,,
