,1,2,3,4,5,6,7,8,9,10,rater_avg
1,1.0,0.62,0.51,0.8,0.66,0.77,0.46,0.53,0.53,0.54,0.6
2,0.62,1.0,0.48,0.57,0.56,0.59,0.33,0.47,0.48,0.57,0.52
3,0.51,0.48,1.0,0.48,0.44,0.44,0.49,0.57,0.51,0.66,0.51
4,0.8,0.57,0.48,1.0,0.63,0.71,0.44,0.51,0.6,0.51,0.58
5,0.66,0.56,0.44,0.63,1.0,0.62,0.4,0.49,0.46,0.61,0.54
6,0.77,0.59,0.44,0.71,0.62,1.0,0.41,0.47,0.49,0.53,0.56
7,0.46,0.33,0.49,0.44,0.4,0.41,1.0,0.5,0.57,0.64,0.47
8,0.53,0.47,0.57,0.51,0.49,0.47,0.5,1.0,0.55,0.52,0.51
9,0.53,0.48,0.51,0.6,0.46,0.49,0.57,0.55,1.0,0.5,0.52
10,0.54,0.57,0.66,0.51,0.61,0.53,0.64,0.52,0.5,1.0,0.56
