Model,F1,Recall,Precision
da_dacy_large_ner_fine_grained,0.8716875871687587,0.8753501400560224,0.8680555555555556
da_dacy_medium_ner_fine_grained,0.8492224475997295,0.8795518207282913,0.8209150326797385
da_dacy_small_ner_fine_grained,0.7978290366350068,0.8235294117647058,0.7736842105263158
saattrupdan/nbailab-base-ner-scandi,0.6398104265402843,0.5903790087463557,0.6982758620689655
da_dacy_large_trf,0.6804123711340205,0.673469387755102,0.6875
da_dacy_medium_trf,0.625531914893617,0.6428571428571429,0.6091160220994475
da_dacy_small_trf,0.5144644253322909,0.47959183673469385,0.554806070826307
da_core_news_lg,0.4851258581235698,0.44537815126050423,0.5326633165829145
da_core_news_md,0.4922623434045689,0.4677871148459384,0.5194401244167963
da_core_news_sm,0.31938633193863325,0.32072829131652664,0.31805555555555554
