Model,LOCATION,ORGANIZATION,PERSON
da_dacy_large_ner_fine_grained,0.8829568788501028,0.8628762541806019,0.8710601719197708
da_dacy_medium_ner_fine_grained,0.8317580340264651,0.8514851485148515,0.872093023255814
da_dacy_small_ner_fine_grained,0.7932960893854748,0.7809847198641766,0.8333333333333334
da_dacy_large_trf,0.8347107438016529,0.5009560229445507,0.7350427350427351
da_dacy_medium_trf,0.7389558232931727,0.47686832740213525,0.7028571428571427
da_dacy_small_trf,0.6666666666666667,0.37751004016064266,0.5149700598802395
da_core_news_lg,0.6289592760180994,0.28076923076923077,0.6074498567335245
da_core_news_md,0.6487695749440716,0.3104693140794224,0.5786516853932584
da_core_news_sm,0.4353448275862069,0.22476190476190477,0.31011235955056177
saattrupdan/nbailab-base-ner-scandi,0.7929515418502203,0.4567901234567901,0.6993865030674846
